rule,support_ratio,confidence,conciseness
airports(t0) ^ airports(t1) ^ t0.latitude_deg == t1.latitude_deg ^ t0.longitude_deg == t1.longitude_deg  ->  t0.municipality == t1.municipality,2808,0.9859550561797753,0.5
airports(t0) ^ airports(t1) ^ t0.elevation_ft == t1.elevation_ft ^ t0.iso_country == BR  ->  t0.iso_country == t1.iso_country,60906,1.0,0.5
airports(t0) ^ airports(t1) ^ t0.elevation_ft == t1.elevation_ft  ->  t0.scheduled_service == t1.scheduled_service,60684644,0.9575267757993245,1.0
airports(t0) ^ airports(t1) ^ t0.iso_country == US ^ t0.type == t1.type  ->  t0.iso_country == t1.iso_country,228624470,1.0,0.5
airports(t0) ^ airports(t1) ^ t0.type == t1.type ^ t0.wikipedia_link == t1.wikipedia_link  ->  t0.keywords == t1.keywords,864768876,0.8059296736075546,0.5
airports(t0) ^ airports(t1) ^ t0.latitude_deg == t1.latitude_deg ^ t0.name == t1.name  ->  t0.municipality == t1.municipality,2782,0.9914468995010691,0.5
airports(t0) ^ airports(t1) ^ t0.local_code == t1.local_code ^ t0.longitude_deg == t1.longitude_deg  ->  t0.type == t1.type,3548,0.9102103642893792,0.5
airports(t0) ^ airports(t1) ^ t0.iso_country == US ^ t0.municipality == t1.municipality  ->  t0.iso_country == t1.iso_country,183262,1.0,0.5
airports(t0) ^ airports(t1) ^ t0.iso_country == BR ^ t0.municipality == t1.municipality  ->  t0.iso_country == t1.iso_country,86928,0.8634431244785251,0.5
airports(t0) ^ airports(t1) ^ t0.longitude_deg == t1.longitude_deg ^ t0.name == t1.name  ->  t0.iso_region == t1.iso_region,2780,0.9886201991465149,0.5
airports(t0) ^ airports(t1) ^ t0.iso_country == t1.iso_country  ->  t0.home_link == t1.home_link,545547990,0.9187280242705548,1.0
airports(t0) ^ airports(t1) ^ t0.gps_code == t1.gps_code  ->  t0.iata_code == t1.iata_code,231786934,0.9202482447240481,1.0
airports(t0) ^ airports(t1) ^ t0.gps_code == t1.gps_code ^ t0.longitude_deg == t1.longitude_deg  ->  t0.elevation_ft == t1.elevation_ft,2842,0.9485981308411215,0.5
airports(t0) ^ airports(t1) ^ t0.longitude_deg == t1.longitude_deg ^ t0.wikipedia_link == t1.wikipedia_link  ->  t0.iso_country == t1.iso_country,5612,0.9272967614011897,0.5
airports(t0) ^ airports(t1) ^ t0.latitude_deg == t1.latitude_deg ^ t0.type == t1.type  ->  t0.wikipedia_link == t1.wikipedia_link,5630,0.9510135135135135,0.5
airports(t0) ^ airports(t1) ^ t0.gps_code == t1.gps_code ^ t0.longitude_deg == t1.longitude_deg  ->  t0.municipality == t1.municipality,2862,0.9552736982643525,0.5
airports(t0) ^ airports(t1) ^ t0.iso_country == US ^ t0.type == t1.type  ->  t0.continent == t1.continent,228611812,0.9999446340980036,0.5
airports(t0) ^ airports(t1) ^ t0.latitude_deg == t1.latitude_deg ^ t0.name == t1.name  ->  t0.iso_country == t1.iso_country,2792,0.9950106913756237,0.5
airports(t0) ^ airports(t1) ^ t0.elevation_ft == t1.elevation_ft ^ t0.iso_country == US  ->  t0.iso_country == t1.iso_country,864648,1.0,0.5
airports(t0) ^ airports(t1) ^ t0.elevation_ft == t1.elevation_ft ^ t0.name == t1.name  ->  t0.gps_code == t1.gps_code,2792,0.9041450777202072,0.5
airports(t0) ^ airports(t1) ^ t0.home_link == t1.home_link ^ t0.iso_country == US  ->  t0.wikipedia_link == t1.wikipedia_link,497089324,0.9999103018350493,0.5
airports(t0) ^ airports(t1) ^ t0.gps_code == t1.gps_code ^ t0.latitude_deg == t1.latitude_deg  ->  t0.municipality == t1.municipality,2974,0.9860742705570292,0.5
airports(t0) ^ airports(t1) ^ t0.latitude_deg == t1.latitude_deg ^ t0.name == t1.name  ->  t0.elevation_ft == t1.elevation_ft,2800,0.9978617248752673,0.5
